iter	Logloss
0	0.6917074761
1	0.690414667
2	0.6888776463
3	0.6878141517
4	0.6865122302
5	0.6851076901
6	0.6842017204
7	0.6836419233
8	0.6822007859
9	0.6812447052
10	0.6805403376
11	0.6793382979
12	0.6782732203
13	0.6771589672
14	0.6761753815
15	0.6751227676
16	0.6738383675
17	0.673050673
18	0.6718953953
19	0.6708302235
20	0.6697573325
21	0.6691571947
22	0.6684378306
23	0.6678234531
24	0.6673093871
25	0.6660072171
26	0.6652424476
27	0.6644746912
28	0.663308595
29	0.6626654524
30	0.6618554705
31	0.661041802
32	0.6602291103
33	0.6598936687
34	0.6587025259
35	0.6578150765
36	0.6570403107
37	0.6561768183
38	0.6556000766
39	0.6546172781
40	0.6541728571
41	0.6534338536
42	0.6523906978
43	0.6514923528
44	0.6506757601
45	0.6499860934
46	0.6495880346
47	0.6486738267
48	0.6478886656
49	0.6469374978
50	0.646202128
51	0.6451504939
52	0.6445767782
53	0.6436148805
54	0.6429825432
55	0.6418431415
56	0.6411033714
57	0.6403473509
58	0.6396569387
59	0.6390005752
60	0.6384558659
61	0.6378509978
62	0.6373365927
63	0.6366247871
64	0.6361524345
65	0.6354418321
66	0.6349631179
67	0.6345379815
68	0.6339129872
69	0.6333128487
70	0.6326717837
71	0.6320985975
72	0.6312676326
73	0.6306684586
74	0.6301157443
75	0.6293278941
76	0.6284658965
77	0.6278606639
78	0.6272557227
79	0.6267780156
80	0.6259244375
81	0.6255773505
82	0.6250239649
83	0.6244743836
84	0.6241465456
85	0.6236151534
86	0.6229006525
87	0.6223288998
88	0.6218871963
89	0.6211347631
90	0.6206408077
91	0.6201376051
92	0.6198900668
93	0.6192444664
94	0.6188306431
95	0.6179386655
96	0.6172420418
97	0.6170374044
98	0.6165401101
99	0.6161769163
100	0.6152727392
101	0.6147585864
102	0.6144747006
103	0.6139195711
104	0.613468367
105	0.6131100428
106	0.6127545938
107	0.6124135247
108	0.6118292919
109	0.6111728155
110	0.6107961342
111	0.6103237666
112	0.6096301094
113	0.6092246032
114	0.60888054
115	0.6084458498
116	0.607917826
117	0.6075431819
118	0.6070267332
119	0.6064494142
120	0.6062258168
121	0.6060755242
122	0.6057446347
123	0.6052773009
124	0.6047916837
125	0.6040867953
126	0.6036141885
127	0.6032073218
128	0.6024161614
129	0.6021801873
130	0.6018305528
131	0.6012879491
132	0.6008129609
133	0.6003429952
134	0.5998761679
135	0.5991756697
136	0.5988202963
137	0.5983149327
138	0.5978744531
139	0.597354808
140	0.5969312165
141	0.5965694979
142	0.5962621214
143	0.5956867755
144	0.5952516122
145	0.5948664251
146	0.5942648965
147	0.5939565868
148	0.5936083416
149	0.5930572914
150	0.5922838202
151	0.5919348394
152	0.5913190049
153	0.5908874202
154	0.5906699619
155	0.5903384204
156	0.5897203135
157	0.5892658032
158	0.5889179666
159	0.5884488229
160	0.5879388875
161	0.5874317202
162	0.5869781759
163	0.5864107243
164	0.5858445835
165	0.5853833587
166	0.5848109171
167	0.5845295524
168	0.5842813569
169	0.5841804322
170	0.5835047565
171	0.5829979154
172	0.5827329926
173	0.582277869
174	0.5820428614
175	0.5818424635
176	0.5812532624
177	0.5808469564
178	0.5804758685
179	0.580201894
180	0.5798276466
181	0.5795120466
182	0.5791960205
183	0.5788106736
184	0.5785990536
185	0.5781366513
186	0.5774944931
187	0.5771643238
188	0.5768572747
189	0.5765665026
190	0.5762513021
191	0.5758784219
192	0.5756689542
193	0.5752496588
194	0.5748884419
195	0.5743570714
196	0.5737585905
197	0.5734546921
198	0.573156591
199	0.5726857896
200	0.5721409826
201	0.5719370363
202	0.5716058899
203	0.5713171847
204	0.5711984902
205	0.5708813455
206	0.5704127555
207	0.5701124775
208	0.5698776953
209	0.5695111974
210	0.5690951832
211	0.5686671235
212	0.5683132321
213	0.5680593359
214	0.5676413953
215	0.5671970428
216	0.5668779868
217	0.5666252736
218	0.5663573032
219	0.5660906922
220	0.5657758203
221	0.5654173612
222	0.564961623
223	0.5646021464
224	0.5641227707
225	0.5637988688
226	0.5634039334
227	0.5630348459
228	0.5627168473
229	0.5623910877
230	0.5621482584
231	0.5620119859
232	0.5616600752
233	0.5613270872
234	0.5611079364
235	0.5608125897
236	0.5604262674
237	0.5600639317
238	0.5596435797
239	0.5592764146
240	0.5589084653
241	0.5585243097
242	0.5581756246
243	0.5579332377
244	0.5575457676
245	0.557073779
246	0.5568471576
247	0.5565729747
248	0.5561233896
249	0.5557254595
250	0.5553438585
251	0.5550068545
252	0.554634383
253	0.5543338445
254	0.5539281625
255	0.5537164736
256	0.5533556331
257	0.5530297306
258	0.5525825645
259	0.5522515067
260	0.5519576841
261	0.5517677029
262	0.5514646158
263	0.5510391278
264	0.5507511472
265	0.5504853865
266	0.5501803995
267	0.5500182997
268	0.5497379331
269	0.5494745257
270	0.5490142676
271	0.548801446
272	0.5484851707
273	0.5481652238
274	0.5479426638
275	0.5477827174
276	0.5474009342
277	0.547173429
278	0.5466114758
279	0.5462053168
280	0.5458644931
281	0.5455562758
282	0.5452759046
283	0.544970895
284	0.5447021111
285	0.5445077972
286	0.5441842926
287	0.5437689142
288	0.5435172308
289	0.5432727712
290	0.5429724818
291	0.5427354419
292	0.5423829603
293	0.54204158
294	0.5416968886
295	0.541228277
296	0.5409866269
297	0.5406348135
298	0.5402590888
299	0.5399569298
300	0.5395988613
301	0.5393074059
302	0.5390415303
303	0.5388481998
304	0.5386449174
305	0.5383455292
306	0.5381262201
307	0.5377116552
308	0.5374019182
309	0.5369211481
310	0.5366172277
311	0.5363750218
312	0.5361696056
313	0.5359481659
314	0.5357703141
315	0.5355617373
316	0.5352215762
317	0.5350549249
318	0.5348108769
319	0.5345282707
320	0.5342235255
321	0.5340213985
322	0.5335136676
323	0.5329411283
324	0.5326757081
325	0.5324196933
326	0.5321222599
327	0.5318175607
328	0.5315402288
329	0.5311245408
330	0.5308878031
331	0.530648162
332	0.5302799503
333	0.5300243365
334	0.5297484901
335	0.5292353842
336	0.5288846897
337	0.5284087129
338	0.5281472674
339	0.5278770654
340	0.5276656354
341	0.5274485755
342	0.5272656546
343	0.5269466441
344	0.5265880608
345	0.5263666694
346	0.5261115264
347	0.5258524624
348	0.5254609268
349	0.5251121235
350	0.5248367368
351	0.5245279699
352	0.5243059656
353	0.5240669349
354	0.5237434102
355	0.5235516051
356	0.5231488404
357	0.5229047873
358	0.522757306
359	0.5224685239
360	0.5222870323
361	0.5219773558
362	0.5216720424
363	0.5215160548
364	0.5213158251
365	0.5211262366
366	0.5208077011
367	0.5204214918
368	0.5202604748
369	0.5200507313
370	0.5196666024
371	0.5194224552
372	0.5190818509
373	0.5187887449
374	0.5185086165
375	0.5182744269
376	0.5179818371
377	0.5177276396
378	0.5175511591
379	0.5172172337
380	0.5170343655
381	0.5167560943
382	0.5164370448
383	0.5160793713
384	0.5158148097
385	0.5156015177
386	0.5153711277
387	0.5152341223
388	0.5148744432
389	0.5146326381
390	0.5143833381
391	0.5140881376
392	0.5137514748
393	0.5135284428
394	0.5133850448
395	0.513165559
396	0.5128666542
397	0.5125770253
398	0.5123532142
399	0.5121448638
400	0.5118657221
401	0.5117108551
402	0.5114150929
403	0.5111516888
404	0.5108085958
405	0.5104914813
406	0.5102113672
407	0.5098120144
408	0.5095976015
409	0.5093212667
410	0.5091234547
411	0.5089624486
412	0.5088486313
413	0.5085731059
414	0.5082561725
415	0.5080092259
416	0.507729306
417	0.5075573448
418	0.5073135623
419	0.5071287753
420	0.5068961234
421	0.5066245484
422	0.5062836098
423	0.5060799729
424	0.5057934773
425	0.5056323798
426	0.5053630701
427	0.5051329097
428	0.5047698732
429	0.5046050724
430	0.5043982232
431	0.5040794551
432	0.5038771941
433	0.5036564049
434	0.503296264
435	0.5030509226
436	0.5029077735
437	0.5026346296
438	0.5024040093
439	0.5022387582
440	0.5019613689
441	0.5017125041
442	0.5014027105
443	0.501085081
444	0.5008141249
445	0.500573463
446	0.5003132538
447	0.5001262705
448	0.499866902
449	0.4996775784
450	0.4994064329
451	0.4991326536
452	0.498886906
453	0.4985994045
454	0.4983622776
455	0.4981727149
456	0.4978273146
457	0.4975886362
458	0.4972349887
459	0.4971213782
460	0.496713261
461	0.4963970118
462	0.4961966767
463	0.4958442224
464	0.4956517108
465	0.4953583423
466	0.4951060337
467	0.4949313268
468	0.4946044864
469	0.4943497781
470	0.4941038871
471	0.4938663981
472	0.4936110202
473	0.4933023073
474	0.4929986318
475	0.4927569068
476	0.4925552501
477	0.4922182347
478	0.4917885986
479	0.4914538739
480	0.491159083
481	0.4909482882
482	0.4907635852
483	0.4905317277
484	0.4902534931
485	0.4898724573
486	0.4896660043
487	0.4894240979
488	0.4892801891
489	0.4890655789
490	0.4888003247
491	0.4886242065
492	0.488432592
493	0.4880833792
494	0.4877428756
495	0.487573961
496	0.4871670475
497	0.4867969136
498	0.4865157952
499	0.4862466337
500	0.4859732657
501	0.4857874139
502	0.4856432055
503	0.4853691812
504	0.4850990132
505	0.484790584
506	0.4845639486
507	0.4841748553
508	0.4839349618
509	0.4838020667
510	0.4835500586
511	0.4832654868
512	0.4829740622
513	0.4828462204
514	0.4825389882
515	0.4823482552
516	0.4819970314
517	0.481835644
518	0.4815725005
519	0.481282378
520	0.4810556533
521	0.480787765
522	0.480630633
523	0.4803107315
524	0.4801667882
