Country,Date,int_perc,electricity_consumed,energy_consumed,population,GDP,continent,country_name
DZA,2001,0.646114016703792,20.64764,40.55701132459125,31451.5,286.092,Africa,Algeria
DZA,2002,1.59164126035832,21.62354,41.04380659318428,31855.1,302.113,Africa,Algeria
DZA,2003,2.19535973086144,23.61164,41.008962855319425,32264.2,323.865,Africa,Algeria
DZA,2004,4.63447508776537,24.42506,39.624433310186824,32692.2,337.791,Africa,Algeria
DZA,2005,5.84394209201256,27.5164,44.96168017230101,33149.7,357.721,Africa,Algeria
DZA,2006,7.37598495634886,26.91052,46.36273996080796,33641.0,363.802,Africa,Algeria
DZA,2007,9.45119062555304,28.3348,45.35798390217349,34167.0,376.171,Africa,Algeria
DZA,2008,10.18,30.49982,48.29804593530833,34730.6,385.199,Africa,Algeria
DZA,2009,11.23,28.315,50.49330478626361,35333.9,391.363,Africa,Algeria
DZA,2010,12.5,33.8405,49.413253929302826,35977.4,405.452,Africa,Algeria
DZA,2011,14.0,38.13478,52.861873082392634,36661.4,417.21,Africa,Algeria
DZA,2012,15.2280267564417,42.8676,56.125875710745674,37383.9,431.395,Africa,Algeria
DZA,2013,16.5,45.2015,53.42370884022648,38140.1,443.474,Africa,Algeria
DZA,2014,18.09,49.20682,59.08736571185966,38923.7,460.326,Africa,Algeria
AGO,1990,0.0,0.958,6.718935398090189,11848.4,62.5656,Africa,Angola
AGO,1991,0.0,0.899,6.812131048502314,12248.9,63.1859,Africa,Angola
AGO,1992,0.0,1.013,6.6892286291023435,12657.4,59.4969,Africa,Angola
AGO,1993,0.0,1.062,6.357411915869981,13075.0,45.2275,Africa,Angola
AGO,1994,0.0,1.071,6.005854315081681,13503.8,45.8333,Africa,Angola
AGO,1995,0.0,1.074,6.238312774287927,13945.2,52.7082,Africa,Angola
AGO,1996,0.000775928524568031,1.085,5.806087231870673,14400.7,59.8472,Africa,Angola
AGO,1997,0.00567374598866159,1.216,6.31515501694505,14871.6,64.2007,Africa,Angola
